Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
10039,AL,34060.93,48154.42,64656.2,42172.37,32288.24,32737.9,36618.83,64517.4,30851.68,117789.29,52375.0,28074.24,65430.39,42833.1,70939.72,46807.05,43587.13,31542.75,25325.37,46187.31,30890.99,22730.03,35043.91,181897.75,87000.66,112177.41,93394.59,97505.69,71508.76,107490.37,84594.41,163443.54,154249.24,49681.57,33703.23,24148.84,68774.09,35867.71,44353.04,28576.76,17693.98,37659.65,30991.06,23992.24,38351.68,27085.64,17085.96,27539.81,22645.63,58790.7,33601.0,177249.77,92442.38,66150.69,55585.38,33361.46,67275.39,33824.15,26648.04,19579.05,40476.12,27411.82,52175.9,27326.19,49672.3,34278.46,140655.29,117100.02,67716.47,67072.22,103219.29,63470.16,48692.79,83151.38,18987.48,33766.93,22850.13,33987.86,23682.17,47312.15,30619.7,43279.61,25247.31,52942.18,27721.67,37011.59,28746.32,51899.36,31248.57,43862.82,30074.81,162204.23,179320.6,63626.63,39081.57,27668.66,47745.79,19560.86,29112.88,131792.5
10040,AL,110543.83,,138898.14,95074.78,70992.0,80384.17,,,70849.33,,,,133737.41,100740.08,,110479.63,101135.99,72802.49,,118486.52,74674.59,,76821.44,,169698.14,,,306483.93,180718.7,,,260665.06,,176971.88,92155.33,69046.08,167283.57,95582.4,132178.24,81753.65,48045.91,,80121.25,74561.0,94371.36,67132.94,57436.11,66973.43,71976.3,159977.64,,379848.53,133654.69,,162355.42,87463.0,143500.71,85848.47,79882.73,,126038.28,78301.79,,,107626.64,,169042.78,199889.19,112909.68,87018.5,234933.64,127906.63,,114912.0,,71101.43,,122287.42,74348.83,115019.05,68518.25,106169.73,68063.9,117533.99,78419.82,106086.73,66235.21,,,,74062.23,352602.18,430845.85,162981.26,94210.89,56058.86,103598.72,56657.06,67450.58,357635.11
10044,AL,,,,,,,,,,,,,,,,22318.43,20170.71,,,,22020.55,17646.58,,,,,,,,,,,,,,,,,17584.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14107.73,,,,14040.18,,,,16650.15,,,,,,,23249.45,18308.92,,,,,
10045,AL,,,,,,,,,,,,,,,,18538.65,23329.45,17814.56,,20251.67,15635.64,,,,,,,,,,,,,,,,,,16358.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9903.27,,,,10859.85,,,,,,,25623.47,,,,,,
10046,AL,,,57945.41,41979.33,,31852.95,,45999.05,21925.69,,,,78953.09,,,51454.47,44980.08,33147.42,,47736.27,,,40755.8,,100544.45,,,149718.62,119197.97,,,,,92144.41,,,92085.37,63157.41,64815.73,36293.21,,,,20771.0,43821.79,25465.61,18897.25,31322.33,23352.84,54531.85,26307.58,170694.69,,,,,57324.94,33198.48,,,39319.84,26996.68,55289.77,,,,,,138104.93,,,110821.92,,,,,,,27964.53,33344.68,19625.45,31590.12,24603.12,52010.2,32459.63,31025.07,30161.43,,,47369.91,23416.35,199191.85,307562.12,78153.33,34016.24,14154.61,33303.83,,,
10047,AL,,,,,,,,,,,,,,,,,,,5258.19,,7966.95,5280.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620.64,,,,,,,,,,,,,,,,,,,,,,,,,5381.18,,,,7203.18,,,,,,,,,
10049,AL,,,,44199.12,,,,,,,,,,,,47015.9,37271.62,46433.5,34317.3,,41373.12,,,,,,,,,,,,,,,,,,38960.94,34375.56,30005.54,,,,,,,,,,,,,,,,,49447.58,,32760.75,,39804.16,,,,,,,101598.52,,,98080.57,,131871.22,,,,,35077.58,,,43804.0,30524.52,,31858.62,,33470.7,,,,,,,70170.53,40593.29,,,,,
10052,AL,,,,,,,,,,,,,,,,6265.26,6354.36,7046.67,,9257.85,7160.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5619.19,,,,,,,,7382.0,,,,,,,,,
10055,AL,53113.92,,87161.18,45596.39,37678.9,41135.35,,84616.5,31376.95,122229.44,54632.53,33217.47,81311.9,50350.1,,52333.96,51057.75,40984.26,28670.8,53325.0,37122.34,27990.13,35225.96,184365.65,70445.65,228382.77,177169.06,296324.71,184725.04,126132.31,,216547.58,,73274.52,44231.41,40334.45,109316.88,72784.53,50817.8,32746.07,26594.9,,53085.96,41751.0,43677.03,36197.14,18342.96,34515.82,27736.78,,,243619.46,128625.1,104625.07,70133.33,62486.55,71495.9,42013.72,40115.44,34436.03,62185.42,45073.69,84504.79,35080.23,82728.71,59603.5,173562.1,107327.73,70651.33,86169.08,88657.35,71674.79,60602.6,84274.52,,37342.2,,59315.29,33001.14,60998.04,35263.44,42353.35,29983.92,75428.8,31628.86,41487.31,37109.47,,33561.55,60846.62,44472.12,196597.46,235993.0,80030.49,62379.03,,49122.0,,27117.94,171599.48
10056,AL,32824.87,42191.38,60492.64,43122.5,29671.7,39585.17,33968.81,53244.73,32969.53,107808.5,48470.24,31994.57,61543.22,34461.82,,41750.33,34672.14,27868.41,14906.71,40992.72,29290.41,20470.28,23000.88,122221.33,68182.85,,205928.5,155552.73,148589.56,64411.45,57567.78,75394.06,184456.36,54584.06,58690.6,,105915.38,72894.54,36728.29,24626.44,19230.62,35479.42,24493.92,,35174.45,21284.89,19265.28,29251.12,,49815.74,,121946.86,51913.02,37362.39,47944.06,29756.1,49814.28,26213.07,28501.42,20351.23,32490.22,27874.0,,30775.71,,41220.44,54530.28,73521.26,34832.33,27416.12,59122.35,45204.76,,40265.29,19120.75,28558.32,,28976.29,20472.03,32950.11,25082.16,28380.04,21651.82,33539.61,28759.59,34065.52,19784.13,31319.96,,,33676.62,164234.0,165780.86,59077.39,29748.03,,43271.19,,,97068.17
10058,AL,,,,,,,,,,,,,,,,,,,,,6796.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6319.06,,,,,,,,,,,,,
10059,AL,,,,,,,,,,,,,,,,,11501.53,8857.94,,,,,,,,,,,,,,,,,,,,,11161.15,,,,,,,,,,,,,,,,,,,,,,,9831.18,,,,,,,,,,,,,,,,,,,,,8112.3,,,,8140.58,,,,,,,11834.14,,,,,,
10061,AL,,,,12361.5,,,,,,,,,,,,20408.2,16456.51,13452.52,10726.29,16004.08,12101.71,,9840.29,,,,,,,,,,,,,,,,14940.9,16130.15,,,,,,9716.0,,,,,,,,,,,,12975.21,,,,10355.22,,,,,,,43403.48,,,33414.36,,,,,,,12046.51,,12136.0,11555.38,8319.36,15695.0,13245.46,10662.69,9366.94,,,,11170.84,,,19833.31,14639.1,,,,9249.11,
10062,AL,,,,,,,,,,,,,,,,,17394.56,13026.67,,21737.8,18487.39,,,,,,,,,,,,,,,,,,24003.94,18846.27,,,,,,,,,,,,,,,,,,,,,,11842.5,,,,,,,,,,,,,,,,,11005.0,,,,17130.58,,,,12755.3,,,,,,,24202.67,,,,,,
10065,AL,,,,13945.0,,,,,,,,,19390.33,14036.64,,15566.25,14574.53,11960.26,,14993.3,10087.67,,,,,,,,60039.42,,,,,,,,,24307.5,13092.73,10969.12,,,,,,11321.71,8972.77,11165.67,7641.18,,,,,,,,16259.46,13525.5,,,10995.46,11570.9,,,,,,,24457.61,,,21621.31,,,,,,,8104.27,,10395.06,14401.11,9521.96,20748.54,9678.32,,10893.17,,,,,,,18364.27,12232.67,,,,,
10069,AL,,,,,,,,,,,,,,,,,21199.0,19728.36,19171.46,,16043.64,,,,,,,,,,,,,,,,,,17700.79,14279.43,,,,,,,,,,,,,,,,,,,,,,11147.09,,,,,,,,,,,,,,,,,10973.0,,,,,,11811.25,,12209.91,,,,,,,25279.26,18379.26,,,,,
10073,AL,,,,,,,,,,,,,,,,,19541.57,14965.64,,,17232.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10674.38,,,,,,,,,,,,,,,,,,,,,8966.0,,,,7589.08,,,,,,,20977.31,12706.24,,,,,
10078,AL,47316.25,,56113.12,35842.87,28681.36,34573.87,,49056.76,33046.14,103418.33,,32297.12,68971.21,,59161.79,36935.33,40650.59,29449.24,23191.1,55818.33,37207.09,28674.57,21089.1,157381.42,85297.24,,,131340.16,107490.82,145339.92,116500.69,,178188.18,68324.49,38790.98,31357.67,75942.31,49327.66,40378.87,31697.37,25282.31,44545.67,31042.04,25080.71,37392.37,27316.71,21831.97,27919.44,24899.26,56100.62,29526.27,145297.27,99534.3,66501.33,61059.36,41090.0,65882.96,44271.1,41947.38,21092.36,51095.92,30054.0,75214.31,37117.44,79254.91,40639.0,,93798.93,68303.11,,102291.21,61418.39,,,23611.52,29641.44,23712.05,53653.42,25534.23,52584.57,31424.73,54733.73,36580.97,47521.26,35357.92,33805.56,30307.47,,30087.07,43261.29,33132.79,171095.19,202828.22,65276.21,40815.4,,,20138.64,23765.05,137634.0
10079,AL,,,,22887.43,,17795.36,,,,,,,,,,19595.97,18293.38,14432.26,,22107.44,15987.06,,13471.08,,,,,,,,,,,,,,,,17581.03,12661.96,8294.45,,,,15687.15,10730.71,7943.91,11856.64,,,,,53181.82,,,15053.36,23984.83,19455.58,,,,14864.82,,,,,,50496.08,35205.15,,,24771.42,,39625.85,,,,,15321.78,23129.73,10362.92,13281.25,11292.03,19513.0,15861.63,14885.33,12455.52,22509.89,,,,103327.29,,28413.77,20853.75,,14196.71,,12807.54,
