Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
50329,CA,,,57250.55,57442.27,,,,,,,,,,,,54003.36,50547.36,,,51595.11,51705.38,,,,91661.38,,,,,146580.67,,,,,,,,,55417.5,37183.16,,,,,47670.93,40500.59,,,40763.29,,,,,,,,57636.62,43047.83,,,,33566.27,,51994.58,,,,,83004.0,,,80560.67,,,,,,,32872.35,,35957.71,32182.82,28653.64,49933.83,46975.04,39660.6,32400.55,,,,,143866.74,,80247.04,41527.74,,,,,
50334,CA,73910.38,,108610.65,65013.71,48201.16,51221.12,52233.15,119467.92,52962.28,325224.45,,48502.09,116232.95,,,65239.19,79512.06,65890.61,,77269.35,61052.63,42706.05,62861.0,353459.71,174698.71,190639.33,121740.96,213792.35,153750.63,262462.55,157525.64,,,102688.07,62539.05,,,82917.93,77105.11,58577.17,,,60917.8,,94421.35,53958.9,41912.45,46758.03,43839.35,107869.59,,328131.36,137477.47,,,83228.08,117511.97,61721.28,52810.95,,,50549.81,98249.09,64280.56,,,132277.88,,104453.71,,,99226.47,70025.92,,37762.83,61033.39,,,49120.97,,52113.68,69001.63,48333.63,94700.89,55569.51,61745.5,52629.7,92336.97,62646.69,,46068.17,388502.32,393036.09,110644.54,67976.91,,135603.62,,,265975.95
50335,CA,,,68691.29,51695.88,,,,,,,76783.68,,79488.13,,,63837.82,55193.14,44116.95,34420.91,65625.79,43686.3,,,,164312.42,,,,,,198729.85,,,71032.68,,,,,68405.92,45328.8,,,,,68720.58,40078.86,32235.0,,38782.82,,,201442.71,126177.69,,,58059.08,69280.64,44089.62,51858.68,40421.92,76858.0,48889.1,,71690.86,,,217910.42,,120092.2,,,115607.79,,129825.83,,,,,38378.31,,46771.25,81295.3,33435.85,56301.24,48880.55,51206.3,55085.64,59221.31,,,,199776.85,,86605.24,61209.71,,80586.63,49865.18,,
50336,CA,,,91990.43,82944.81,62432.0,61441.44,62735.21,,52348.93,,,,109190.88,,,87342.87,70619.91,80717.58,58808.13,94130.88,67781.75,47051.38,67584.94,,208072.7,,,,,,,,,91565.31,59109.44,50331.75,137054.33,95621.0,84907.89,66412.0,50668.77,,53910.45,58767.41,79060.05,57392.82,40826.79,62431.91,84237.3,,,,226938.36,,,81935.33,99925.45,69759.85,65846.97,53023.67,114605.0,61561.93,,91272.23,,,,,141003.82,,,154176.68,131527.79,,71196.06,51150.95,67213.0,,66646.9,66123.15,58552.44,92959.0,59407.85,101699.74,78904.31,72715.15,58707.36,101226.44,114237.18,131641.55,60631.22,312423.38,,115397.03,78947.57,53860.46,75964.86,,65126.71,
50342,CA,,,45766.08,33597.78,,29932.69,,,,,41771.75,,52044.0,,,37484.88,34334.9,,,39615.1,28283.3,21405.82,,,80017.17,,,,,,,,,35242.76,22681.18,,,,40517.44,31237.05,20497.56,,,,28252.54,,,,,,,,,,,,49501.56,45563.96,23207.55,16365.77,,26237.71,,30400.83,,,,,60609.32,,,,,,,,,,28832.3,,,29318.38,23199.12,51397.36,29116.54,31012.31,21937.18,,,,,177400.94,,46954.53,27309.51,,,,,
50348,CA,,48068.44,101412.52,60531.3,48338.75,,,,64783.16,187322.71,,40964.93,,,,67685.42,51057.29,46279.41,,76015.58,39328.75,,57091.33,,142577.62,,,160298.42,110359.75,187861.86,167619.27,,391498.31,113660.94,,,122396.67,76681.68,81590.82,53930.43,34494.91,,57109.35,45588.55,73723.57,47910.52,36439.38,55096.42,40710.21,101491.35,66040.53,231779.75,129482.74,76671.11,,,86523.94,68539.02,43813.38,,52525.71,44932.54,85600.81,67251.09,,,160837.22,,95090.67,141158.08,,171081.83,,,,61627.08,,,37859.43,,59868.69,55850.8,43788.78,86019.4,48311.97,56820.77,39748.17,94370.06,82070.42,80462.09,46178.73,374447.67,444034.05,99578.36,54060.52,,,,45716.43,262449.0
50350,CA,,20228.14,58257.08,31666.46,,,,,20734.36,,,,55622.42,,,,34809.78,21540.38,,36561.16,23320.94,21183.45,26640.85,,58365.62,,,,,46862.89,,,,38653.22,36682.0,,45739.17,,36367.33,20255.79,,,,,21180.38,21055.79,,23751.18,16915.5,20757.62,,,,,,,32868.88,26571.41,,,25566.95,19908.53,34427.69,,,,,,49694.88,,,46087.82,,,,22536.12,,25167.29,20641.82,24230.58,24946.82,25967.75,18697.52,38488.91,25064.48,22784.21,19535.05,38435.95,19343.12,34219.92,25025.14,96056.15,127702.64,46009.73,23265.8,,,,,49228.67
50351,CA,44165.83,62741.46,84687.94,65448.07,47432.79,55304.33,56074.0,,43751.93,262986.0,68746.62,60157.82,154498.91,79420.07,81705.17,91548.51,93505.17,73818.31,51418.55,92524.54,65712.2,40490.04,65343.12,621049.2,147270.18,,,243327.8,141912.85,222024.21,,121333.17,,107749.35,58852.82,,144696.46,70974.0,91953.62,57197.31,42219.9,100376.95,43131.76,51448.55,79071.43,50880.42,39644.84,49735.43,47503.85,109737.49,67151.56,197646.49,121001.8,88251.83,136549.56,80138.94,94592.23,54024.13,44700.95,34565.22,113354.84,49169.23,110602.74,54895.24,74371.71,47088.88,117728.31,190751.14,77508.37,75624.48,143995.53,79729.51,76262.86,77499.31,42244.62,50561.5,40570.42,85673.43,41970.79,78802.0,48238.63,74048.39,52030.42,84584.44,53101.64,63542.03,48836.31,117482.56,64249.0,87794.27,54215.64,292091.33,471388.0,114120.55,53384.85,,,,50732.89,336804.07
50352,CA,,,,43340.5,,,,,,,,,,,,65076.88,,,,,53549.3,,,,,,,,,,,,,,,,,,65434.7,63390.0,,,,,,,,,,,,,,,,,,,,,,32777.18,,,,,152889.67,,103139.51,,,,,91237.95,,,,,,,,,,,,,,,,,,,,58411.14,57364.69,,,,,
50353,CA,,,85006.52,71929.29,56536.85,78252.67,,124701.05,,,,,91236.98,68451.75,,62991.62,64490.0,53698.25,37904.92,66338.45,51349.15,35759.43,53800.2,,143546.0,111514.5,59639.5,152246.6,101623.61,,,,,92949.5,50263.75,,112843.35,53960.46,69730.92,52115.68,,71255.2,55809.38,38791.0,53325.5,38767.6,30654.64,44750.72,48992.56,70123.0,,197678.58,115194.75,,,,75205.61,57539.21,50108.64,,85953.5,45324.59,69084.75,54816.95,77141.08,,111689.54,158905.33,87750.17,,103392.9,82937.71,,,33433.5,51844.37,51636.08,58085.85,37106.61,69734.2,38298.35,57923.0,37713.52,87806.34,49506.0,51190.13,42154.12,53763.44,46303.9,69025.69,49015.58,238862.91,320561.88,85682.71,53445.8,48381.75,61647.94,,,
